date;trial;subject;task;stage;checksum;box;TRIAL_START;TRIAL_END;Port1In_START;Port1Out_START;Port4In_START;Port4Out_START;Port7In_START;Port7Out_START;STATE_center_light_START;STATE_center_light_END;STATE_drink_delay_START;STATE_drink_delay_END;STATE_light_off_START;STATE_light_off_END;STATE_light_on_START;STATE_light_on_END;STATE_side_light_START;STATE_side_light_END;STATE_wait_opto_START;STATE_wait_opto_END;STATE_water_delivery_START;STATE_water_delivery_END;STATE_wrong_side_START;STATE_wrong_side_END;SoftcodeOut1_START;SoftcodeOut20_START;SoftcodeOut6_START;SoftcodeOut7_START;Block_index;Block_type;Prob_block_type;Probability_L_R_blocks;frequency_light;iti_duration;list_prob_R_values;max_dur_light;opto_bool;opto_type;outcome;probability_r;pulse_dur_on;reward_drunk;side;subject_weight;trials_max
2024/08/02;31;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597929.880039;1722597932.788725;;;1722597931.792739;1722597931.823939;1722597932.145839,1722597932.241839,1722597932.356339;1722597932.230939,1722597932.304539;1722597929.880039;1722597931.792739;1722597932.157639;1722597932.788739;;;;;1722597931.792739;1722597932.145839;;;1722597932.145839;1722597932.157639;;;;;;;1.0;exp;rdm_values;balanced;20;0.6311525216004789;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;54.0;right;0.0;99999.0
2024/08/02;32;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597932.842797;1722597939.391983;;;1722597934.415497;1722597934.4281971;1722597934.688997,1722597936.167697;1722597934.026997,1722597936.126097,1722597936.309397;1722597932.842797;1722597934.415497;1722597934.700797;1722597939.391997;;;;;1722597934.415497;1722597934.688997;;;1722597934.688997;1722597934.700797;;;;;;;1.0;exp;rdm_values;balanced;20;4.691275769569128;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;57.0;right;0.0;99999.0
2024/08/02;33;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597939.447607;1722597948.591993;;;1722597940.2765071;1722597940.311707;1722597940.550307,1722597944.722407,1722597945.1945071;1722597942.753607,1722597945.121707,1722597946.559807;1722597939.447607;1722597940.2765071;1722597945.6945071;1722597948.592007;1722597945.1945071;1722597945.6945071;1722597944.722407;1722597945.1945071;1722597940.2765071;1722597940.550307;1722597940.562107;1722597944.722407;1722597940.550307;1722597940.562107;;;;;1722597944.723141;1722597945.194892;1.0;exp;rdm_values;balanced;20;8.897549761915775;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;60.0;right;0.0;99999.0
2024/08/02;34;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597948.646187;1722597949.9524732;;;1722597949.3019872;1722597949.392987;1722597949.7025871,1722597949.853287;1722597949.824587;1722597948.646187;1722597949.3019872;1722597949.7143872;1722597949.952487;;;;;1722597949.3019872;1722597949.7025871;;;1722597949.7025871;1722597949.7143872;;;;;;;1.0;exp;rdm_values;balanced;20;0.23811433589121206;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;63.0;right;0.0;99999.0
2024/08/02;35;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597950.005575;1722597955.032661;;;1722597951.007575;1722597951.016075;1722597950.564275,1722597951.284675;1722597950.4986749,1722597950.647975,1722597951.992375;1722597950.005575;1722597951.007575;1722597951.296475;1722597955.032675;;;;;1722597951.007575;1722597951.284675;;;1722597951.284675;1722597951.296475;;;;;;;1.0;exp;rdm_values;balanced;20;3.7362014900256093;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;66.0;right;0.0;99999.0
2024/08/02;36;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597955.087689;1722597960.290875;1722597956.015089,1722597957.002389,1722597958.767789;1722597956.051189,1722597957.865089,1722597959.136189;1722597958.407089;1722597958.497889;;;1722597955.087689;1722597958.407089;1722597959.267789;1722597960.290889;;;;;1722597958.407089;1722597958.767789;;;;;1722597958.767789;1722597959.267789;1722597958.768029;;;;1.0;exp;rdm_values;balanced;20;1.0231289738718685;[0.9, 0.8];2.0;1;6;incorrect;0.9;0.0125;66.0;right;0.0;99999.0
2024/08/02;37;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597960.347595;1722597967.6785808;;;1722597961.640895;1722597961.691595;1722597961.961295;1722597962.124595;1722597960.347595;1722597961.640895;1722597961.973095;1722597967.678595;;;;;1722597961.640895;1722597961.961295;;;1722597961.961295;1722597961.973095;;;;;;;1.0;exp;rdm_values;balanced;20;5.705581567124627;[0.9, 0.8];2.0;0;6;correct;0.9;0.0125;69.0;right;0.0;99999.0
2024/08/02;38;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597967.733563;1722597995.9461489;1722597979.4994628;1722597979.800863;1722597979.114563;1722597979.1746628;;;1722597967.733563;1722597979.114563;1722597986.4994628;1722597995.946163;1722597985.9994628;1722597986.4994628;1722597984.9994628;1722597985.9994628;1722597979.114563;1722597979.4994628;1722597979.9994628;1722597984.9994628;;;1722597979.4994628;1722597979.9994628;1722597979.500026;;1722597985.000194;1722597986.000353;1.0;exp;rdm_values;balanced;20;15.446700380631414;[0.9, 0.8];2.0;1;6;incorrect;0.9;0.0125;69.0;right;0.0;99999.0
2024/08/02;39;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597996.002871;1722598009.143357;;;1722598003.642571;1722598003.707171;1722598003.9769711,1722598004.207371;1722598004.1463711,1722598004.5982711;1722597996.002871;1722598003.642571;1722598003.988771;1722598009.143371;;;;;1722598003.642571;1722598003.9769711;;;1722598003.9769711;1722598003.988771;;;;;;;1.0;exp;rdm_values;balanced;20;5.154619867302702;[0.9, 0.8];2.0;0;6;correct;0.9;0.0125;72.0;right;0.0;99999.0
2024/08/02;40;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722598009.198201;1722598079.0037868;;;1722598078.187701;1722598078.292501;1722598078.5900009;1722598078.731601;1722598009.198201;1722598078.187701;1722598078.601801;1722598079.0038009;;;;;1722598078.187701;1722598078.5900009;;;1722598078.5900009;1722598078.601801;;;;;;;1.0;exp;rdm_values;balanced;20;0.40203282317051203;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;75.0;right;0.0;99999.0
